angle,TTL
54.07,0
53.97,0
53.96,0
53.97,0
53.99,0
54.02,0
54.04,0
54.02,0
54.01,0
53.95,0
53.88,0
53.61,0
53.55,0
53.67,0
53.74,0
53.66,0
53.64,0
53.72,0
53.72,0
53.79,0
53.78,0
53.58,0
52.59,0
49.73,0
46.55,0
41.86,0
36.50,0
25.50,0
16.42,0
9.00,0
7.24,0
6.32,0
5.65,0
5.30,0
3.69,0
2.86,0
2.74,0
2.48,0
2.64,0
2.91,0
2.71,0
2.58,0
2.56,0
2.39,0
2.37,0
2.42,0
2.23,0
2.25,0
2.22,0
2.13,0
2.20,0
2.19,0
2.10,0
2.05,0
2.19,0
2.58,0
2.54,0
2.51,0
2.54,0
2.60,0
2.69,0
2.72,0
2.70,0
2.74,0
2.83,0
2.77,0
2.83,0
2.95,0
3.08,0
3.49,0
4.12,0
4.58,0
5.88,0
6.76,0
8.03,0
10.07,0
13.41,0
16.59,0
21.63,0
24.54,0
29.48,0
34.66,0
39.94,0
43.04,0
46.64,0
48.77,0
51.24,0
31.02,0
53.75,0
54.13,0
55.05,0
55.36,0
55.62,0
55.72,0
55.74,0
55.62,0
55.39,0
55.30,0
55.34,0
55.36,0
55.33,0
55.33,0
55.32,0
55.32,0
55.30,0
55.35,0
55.25,0
55.23,0
55.35,0
55.40,0
55.37,0
55.34,0
55.34,0
55.27,0
55.19,0
55.26,0
55.25,0
55.20,0
55.22,0
55.26,0
55.29,0
55.28,0
55.21,0
55.20,0
55.28,0
55.30,0
55.17,0
55.04,0
55.00,0
54.90,0
54.72,0
54.53,0
53.95,0
53.31,0
52.48,0
51.41,0
48.22,0
44.37,0
39.92,0
34.67,0
24.84,0
21.15,0
16.41,0
11.74,0
7.91,0
4.56,0
1.58,0
-0.17,0
-0.67,0
-1.11,0
-1.05,0
-2.09,0
-3.72,0
-4.37,0
-4.82,0
-5.33,0
-4.96,0
-4.40,0
-4.37,0
-4.15,0
-3.65,0
-3.71,0
-3.67,0
-3.48,0
-110.12,0
-3.18,0
-3.27,0
-3.39,0
-3.26,0
-3.14,0
-3.09,0
-2.99,0
-2.98,0
-2.96,0
-2.83,0
-2.74,0
-2.71,0
-2.70,0
-2.67,0
-2.49,0
-2.34,0
-2.40,0
-2.45,0
-2.44,0
-2.47,0
-2.49,0
-2.57,0
-2.46,0
-2.39,0
-2.32,0
176.01,0
-2.37,0
-2.41,0
-2.31,0
-2.29,0
-2.32,0
-2.27,0
-2.22,0
-2.14,0
-2.17,0
-2.25,0
-2.21,0
-2.09,0
-2.02,0
-2.06,0
-2.09,0
-2.05,0
-1.94,0
-1.81,0
-1.75,0
-1.76,0
-1.77,0
-1.78,0
-1.79,0
-1.78,0
-1.80,0
-1.80,0
-1.81,0
-1.83,0
-1.82,0
-1.78,0
-1.80,0
-1.79,0
-1.79,0
-1.77,0
-1.75,0
-1.70,0
-1.72,0
-1.72,0
-1.64,0
-1.60,0
-1.57,0
-0.48,0
-0.50,0
-0.45,0
-0.40,0
-0.34,0
-0.34,0
-0.31,0
-0.24,0
-0.20,0
-0.17,0
-0.15,0
-0.09,0
-0.02,0
-0.02,0
-0.06,0
-0.11,0
-0.10,0
-0.06,0
-0.09,0
-0.14,0
-0.16,0
-0.12,0
-0.11,0
-0.13,0
-0.19,0
-0.21,0
-0.22,0
-0.18,0
-0.21,0
-0.23,0
-0.25,0
-0.22,0
-0.24,0
-0.26,0
-0.24,0
-0.26,0
-0.26,0
-0.25,0
-0.29,0
-0.30,0
-0.30,0
-0.30,0
-0.28,0
-0.25,0
-0.28,0
-0.31,0
-0.31,0
-0.30,0
-0.24,0
-0.24,0
-0.29,0
-0.29,0
-0.28,0
-0.25,0
-0.22,0
-0.26,0
-0.24,0
-0.26,0
-0.24,0
-0.20,0
-0.19,0
-0.20,0
-0.21,0
-0.21,0
-0.21,0
-0.20,0
-0.20,0
-0.26,0
-0.27,0
